========== 龙骨盘点（按空间位置分类）==========
骨骼总数 = 275

顶点包围盒: X[-3.896,1.837]  Y[-0.042,2.237]  Z[-3.610,2.002]
（相对角色根；长轴=X）

---- 全部骨骼（按 Z 从后到前排序）----
  [idx] 名字                      局部位置(X,Y,Z)               到根距离  子数
  [ 35] drgon_0255                 ( -0.920,  0.391, -2.018)    2.252  3
  [ 36] drgon_0271                 ( -1.076,  0.391, -2.016)    2.318  0
  [ 37] drgon_0262                 ( -0.886,  0.048, -2.013)    2.200  0
  [ 38] drgon_0209                 ( -1.523,  0.845, -1.994)    2.647  2
  [ 39] drgon_0254                 ( -1.133,  0.485, -1.983)    2.334  1
  [ 40] drgon_0230                 ( -1.424,  0.937, -1.950)    2.590  0
  [ 41] drgon_0208                 ( -1.428,  0.731, -1.930)    2.510  2
  [ 42] drgon_0231                 ( -1.322,  0.840, -1.899)    2.461  0
  [ 43] drgon_0207                 ( -1.314,  0.629, -1.872)    2.372  2
  [ 44] drgon_0232                 ( -1.207,  0.756, -1.858)    2.341  0
  [ 45] drgon_0253                 ( -1.210,  0.567, -1.853)    2.284  1
  [ 46] drgon_0233                 ( -1.095,  0.711, -1.811)    2.233  0
  [ 47] drgon_0206                 ( -1.160,  0.549, -1.805)    2.214  2
  [ 48] drgon_03                   ( -1.159,  0.549, -1.805)    2.214  4
  [ 49] drgon_0234                 ( -1.226,  0.576, -1.804)    2.256  1
  [ 50] drgon_0205                 ( -0.959,  0.661, -1.751)    2.103  0
  [ 51] drgon_04                   ( -1.003,  0.490, -1.742)    2.069  2
  [ 52] drgon_0204                 ( -0.812,  0.623, -1.697)    1.982  0
  [ 53] drgon_09                   (  0.353,  0.872, -1.696)    1.940  2
  [ 54] drgon_0200                 (  0.305,  1.045, -1.687)    2.008  0
  [ 55] drgon_05                   ( -0.819,  0.447, -1.684)    1.925  2
  [ 56] drgon_0181                 (  0.032,  0.858, -1.664)    1.872  0
  [ 57] drgon_010                  (  0.681,  1.066, -1.663)    2.090  2
  [ 58] drgon_08                   (  0.073,  0.673, -1.655)    1.789  2
  [ 59] drgon_0203                 ( -0.570,  0.610, -1.644)    1.844  0
  [ 60] drgon_0235                 ( -1.204,  0.560, -1.634)    2.106  1
  [ 61] drgon_0202                 ( -0.287,  0.680, -1.631)    1.790  0
  [ 62] drgon_06                   ( -0.528,  0.439, -1.630)    1.769  2
  [ 63] drgon_0199                 (  0.648,  1.232, -1.630)    2.143  0
  [ 64] drgon_07                   ( -0.206,  0.524, -1.624)    1.719  2
  [ 65] drgon_0221                 ( -1.279,  0.042, -1.523)    1.990  0
  [ 66] drgon_0252                 ( -1.227,  0.372, -1.516)    1.986  0
  [ 67] drgon_0240                 ( -1.265,  0.042, -1.473)    1.942  1
  [ 68] drgon_0236                 ( -1.118,  0.455, -1.443)    1.881  3
  [ 69] drgon_0251                 ( -1.118,  0.454, -1.442)    1.881  0
  [ 70] drgon_0250                 ( -1.235,  0.251, -1.431)    1.907  0
  [ 71] drgon_0237                 ( -1.235,  0.251, -1.431)    1.907  2
  [ 72] drgon_011                  (  0.981,  1.076, -1.422)    2.035  2
  [ 73] drgon_0239                 ( -1.249,  0.042, -1.415)    1.888  1
  [ 74] drgon_0238                 ( -1.237,  0.091, -1.374)    1.851  4
  [ 75] drgon_0242                 ( -1.194,  0.053, -1.358)    1.809  1
  [ 76] drgon_0198                 (  0.974,  1.230, -1.351)    2.071  0
  [ 77] drgon_0118                 ( -1.265,  0.054, -1.337)    1.842  1
  [ 78] drgon_0245                 ( -1.226,  0.069, -1.335)    1.813  1
  [ 79] drgon_0243                 ( -1.134,  0.053, -1.299)    1.725  1
  [ 80] drgon_0248                 ( -1.286,  0.055, -1.256)    1.798  1
  [ 81] drgon_0244                 ( -1.087,  0.052, -1.254)    1.661  0
  [ 82] drgon_0246                 ( -1.201,  0.058, -1.247)    1.733  1
  [ 83] drgon_0249                 ( -1.301,  0.055, -1.193)    1.767  0
  [ 84] drgon_0247                 ( -1.184,  0.049, -1.185)    1.676  0
  [ 85] drgon_012                  (  1.141,  0.937, -1.100)    1.841  2
  [ 86] drgon_0197                 (  1.124,  1.123, -1.082)    1.922  0
  [ 87] drgon_013                  (  1.184,  0.750, -0.789)    1.609  2
  [ 88] drgon_0196                 (  1.172,  0.890, -0.696)    1.628  0
  [ 89] drgon_014                  (  1.133,  0.569, -0.518)    1.370  2
  [ 90] drgon_0161                 (  0.679,  0.023, -0.477)    0.830  0
  [ 91] drgon_0170                 (  0.353,  0.039, -0.464)    0.584  0
  [ 92] drgon_0173                 (  0.772,  0.323, -0.461)    0.956  0
  [ 93] drgon_0156                 (  0.719,  0.263, -0.458)    0.892  3
  [ 94] drgon_0172                 (  0.719,  0.263, -0.458)    0.892  0
  [ 95] drgon_0159                 (  0.632,  0.024, -0.455)    0.779  1
  [ 96] drgon_0169                 (  0.417,  0.038, -0.450)    0.614  1
  [ 97] drgon_0195                 (  1.119,  0.714, -0.433)    1.396  0
  [ 98] drgon_0168                 (  0.498,  0.037, -0.431)    0.660  1
  [ 99] drgon_0158                 (  0.578,  0.024, -0.429)    0.720  1
  [100] drgon_0157                 (  0.543,  0.094, -0.412)    0.688  5
  [101] drgon_0171                 (  0.542, -0.018, -0.412)    0.681  0
  [102] drgon_0165                 (  0.502,  0.053, -0.392)    0.639  1
  [103] drgon_0162                 (  0.530,  0.037, -0.365)    0.645  1
  [104] drgon_0166                 (  0.420,  0.054, -0.352)    0.551  1
  [105] drgon_0167                 (  0.361,  0.054, -0.324)    0.488  0
  [106] drgon_015                  (  1.026,  0.438, -0.307)    1.157  2
  [107] drgon_0163                 (  0.482,  0.038, -0.297)    0.567  1
  [108] drgon_0155                 (  0.736,  0.428, -0.274)    0.894  1
  [109] drgon_0164                 (  0.444,  0.038, -0.244)    0.508  0
  [110] drgon_0194                 (  1.019,  0.593, -0.243)    1.204  0
  [111] drgon_016                  (  0.906,  0.375, -0.162)    0.994  4
  [112] drgon_0154                 (  0.861,  0.378, -0.158)    0.954  1
  [113] drgon_0174                 (  0.921,  0.536, -0.128)    1.073  0
  [114] drgon_0175                 (  0.894,  0.367, -0.119)    0.974  1
  [115] drgon_0193                 (  1.166,  0.331, -0.110)    1.217  0
  [116] drgon_0176                 (  1.017,  0.481, -0.059)    1.126  1
  [117] drgon_0192                 (  1.155,  0.276, -0.052)    1.189  0
  [118] drgon_0177                 (  1.155,  0.276, -0.052)    1.189  3
  [119] drgon_017                  (  0.774,  0.364, -0.051)    0.857  2
  [120] drgon_0153                 (  0.822,  0.517, -0.047)    0.972  0
  [121] drgon_0160                 (  1.197,  0.028, -0.031)    1.197  0
  [122] Z_Dragon                   (  0.000,  0.000,  0.000)    0.000  3
  [123] Object_6                   (  0.000,  0.000,  0.000)    0.000  1
  [124] _rootJoint                 (  0.000,  0.000,  0.000)    0.000  1
  [125] drgon_0180                 (  1.180,  0.027,  0.018)    1.180  1
  [126] drgon_0152                 (  0.675,  0.544,  0.040)    0.868  0
  [127] drgon_018                  (  0.606,  0.411,  0.055)    0.734  2
  [128] drgon_0179                 (  1.160,  0.020,  0.075)    1.163  1
  [129] drgon_0178                 (  1.148,  0.089,  0.111)    1.157  5
  [130] drgon_0191                 (  1.147, -0.022,  0.111)    1.152  0
  [131] drgon_0151                 (  0.518,  0.617,  0.119)    0.814  0
  [132] drgon_0182                 (  1.102,  0.033,  0.129)    1.110  1
  [133] drgon_0188                 (  1.172,  0.032,  0.153)    1.182  1
  [134] drgon_0185                 (  1.133,  0.048,  0.154)    1.144  1
  [135] drgon_019                  (  0.422,  0.517,  0.157)    0.686  2
  [136] drgon_0183                 (  1.036,  0.044,  0.179)    1.052  1
  [137] drgon_0184                 (  0.985,  0.035,  0.219)    1.010  0
  [138] drgon_0189                 (  1.181,  0.040,  0.236)    1.205  1
  [139] drgon_0150                 (  0.315,  0.777,  0.239)    0.872  0
  [140] drgon_0186                 (  1.103,  0.058,  0.240)    1.130  1
  [141] drgon_020                  (  0.233,  0.679,  0.275)    0.769  2
  [142] drgon_0187                 (  1.082,  0.039,  0.299)    1.124  0
  [143] drgon_0190                 (  1.187,  0.024,  0.299)    1.225  0
  [144] drgon_0149                 (  0.125,  0.975,  0.387)    1.056  0
  [145] drgon_021                  (  0.070,  0.865,  0.417)    0.963  2
  [146] drgon_022                  ( -0.059,  1.000,  0.666)    1.203  2
  [147] drgon_0148                 ( -0.049,  1.116,  0.697)    1.317  0
  [148] drgon_0102                 ( -0.412,  0.875,  0.703)    1.196  0
  [149] drgon_0125                 (  0.004,  1.134,  0.709)    1.338  0
  [150] drgon_0105                 ( -0.292,  1.114,  0.713)    1.355  0
  [151] drgon_0108                 ( -0.028,  1.203,  0.727)    1.406  0
  [152] drgon_0128                 ( -0.113,  1.188,  0.738)    1.403  0
  [153] drgon_0111                 ( -0.165,  0.969,  0.752)    1.238  0
  [154] drgon_0122                 (  0.100,  0.974,  0.762)    1.241  0
  [155] drgon_0116                 ( -0.033,  1.050,  0.772)    1.304  0
  [156] drgon_023                  ( -0.088,  0.945,  0.863)    1.283  2
  [157] drgon_095                  ( -0.123,  1.154,  0.886)    1.460  0
  [158] drgon_0104                 ( -0.169,  0.953,  0.893)    1.317  1
  [159] drgon_0110                 ( -0.155,  0.835,  0.896)    1.235  1
  [160] drgon_0124                 (  0.072,  0.957,  0.903)    1.318  1
  [161] drgon_0121                 (  0.096,  0.839,  0.907)    1.239  1
  [162] drgon_0107                 ( -0.053,  1.018,  0.924)    1.376  1
  [163] drgon_0127                 ( -0.029,  1.014,  0.929)    1.376  1
  [164] drgon_0147                 ( -0.089,  1.037,  0.937)    1.400  0
  [165] drgon_0101                 ( -0.294,  0.777,  0.940)    1.254  1
  [166] drgon_0115                 (  0.061,  0.871,  0.969)    1.305  1
  [167] drgon_0109                 ( -0.147,  0.722,  1.017)    1.256  1
  [168] drgon_024                  ( -0.063,  0.822,  1.022)    1.313  1
  [169] drgon_080                  ( -0.057,  0.515,  1.024)    1.148  0
  [170] drgon_0120                 (  0.104,  0.727,  1.028)    1.263  1
  [171] drgon_094                  ( -0.079,  0.997,  1.031)    1.436  1
  [172] drgon_0103                 ( -0.143,  0.821,  1.036)    1.330  1
  [173] drgon_076                  (  0.040,  0.504,  1.046)    1.162  0
  [174] drgon_0123                 (  0.096,  0.825,  1.046)    1.336  1
  [175] drgon_0106                 ( -0.069,  0.884,  1.066)    1.387  1
  [176] drgon_0126                 (  0.017,  0.886,  1.070)    1.389  1
  [177] drgon_079                  ( -0.070,  0.582,  1.087)    1.235  1
  [178] drgon_075                  (  0.027,  0.584,  1.092)    1.238  1
  [179] drgon_099                  ( -0.280,  0.773,  1.097)    1.371  0
  [180] drgon_0113                 (  0.172,  0.793,  1.103)    1.369  0
  [181] drgon_025                  ( -0.025,  0.729,  1.107)    1.326  53
  [182] drgon_0137                 ( -0.493,  0.630,  1.124)    1.380  0
  [183] drgon_092                  ( -0.054,  0.950,  1.129)    1.477  0
  [184] drgon_0100                 ( -0.164,  0.705,  1.135)    1.346  1
  [185] drgon_0114                 (  0.112,  0.709,  1.146)    1.352  1
  [186] drgon_093                  ( -0.029,  0.860,  1.152)    1.438  1
  [187] drgon_070                  ( -0.024,  0.581,  1.153)    1.291  1
  [188] drgon_0146                 (  0.449,  0.648,  1.158)    1.401  0
  [189] drgon_0136                 ( -0.446,  0.663,  1.161)    1.409  1
  [190] drgon_084                  ( -0.217,  0.776,  1.165)    1.416  0
  [191] drgon_064                  ( -0.026,  0.641,  1.168)    1.333  10
  [192] drgon_061                  ( -0.027,  0.669,  1.176)    1.353  2
  [193] drgon_088                  (  0.159,  0.782,  1.180)    1.425  0
  [194] drgon_082                  ( -0.158,  0.958,  1.191)    1.536  0
  [195] drgon_071                  ( -0.025,  0.543,  1.193)    1.311  1
  [196] drgon_0145                 (  0.395,  0.666,  1.196)    1.425  1
  [197] drgon_00                   ( -0.195,  0.611,  1.197)    1.358  0
  [198] drgon_086                  (  0.094,  0.960,  1.198)    1.539  0
  [199] drgon_062                  ( -0.176,  0.578,  1.198)    1.342  0
  [200] drgon_0135                 ( -0.394,  0.646,  1.202)    1.420  1
  [201] drgon_054                  ( -0.028,  0.680,  1.203)    1.382  6
  [202] drgon_077                  ( -0.024,  0.464,  1.205)    1.291  0
  [203] drgon_047                  (  0.141,  0.617,  1.211)    1.366  0
  [204] drgon_083                  ( -0.184,  0.734,  1.211)    1.429  1
  [205] drgon_063                  (  0.122,  0.578,  1.216)    1.352  0
  [206] drgon_097                  ( -0.155,  0.831,  1.222)    1.486  0
  [207] drgon_087                  (  0.124,  0.740,  1.224)    1.436  1
  [208] drgon_098                  ( -0.199,  0.658,  1.225)    1.405  1
  [209] drgon_0119                 (  0.085,  0.836,  1.231)    1.491  0
  [210] drgon_081                  ( -0.131,  0.824,  1.231)    1.487  1
  [211] drgon_0134                 ( -0.353,  0.601,  1.233)    1.416  1
  [212] drgon_0144                 (  0.339,  0.659,  1.235)    1.441  1
  [213] drgon_072                  ( -0.026,  0.509,  1.236)    1.337  1
  [214] drgon_067                  ( -0.123,  0.484,  1.238)    1.335  0
  [215] drgon_0112                 (  0.140,  0.663,  1.240)    1.413  1
  [216] drgon_085                  (  0.067,  0.827,  1.240)    1.492  1
  [217] drgon_055                  ( -0.029,  0.588,  1.247)    1.379  0
  [218] drgon_069                  (  0.070,  0.488,  1.247)    1.341  0
  [219] drgon_0133                 ( -0.314,  0.552,  1.261)    1.412  1
  [220] drgon_058                  ( -0.160,  0.521,  1.262)    1.375  0
  [221] drgon_091                  ( -0.033,  0.827,  1.262)    1.510  1
  [222] drgon_0143                 (  0.291,  0.622,  1.267)    1.441  1
  [223] drgon_060                  (  0.104,  0.525,  1.273)    1.381  0
  [224] drgon_045                  ( -0.188,  0.585,  1.274)    1.415  0
  [225] drgon_073                  ( -0.028,  0.475,  1.278)    1.364  1
  [226] drgon_01                   ( -0.203,  0.650,  1.286)    1.456  0
  [227] drgon_050                  (  0.128,  0.590,  1.288)    1.422  0
  [228] drgon_0142                 (  0.251,  0.573,  1.291)    1.435  1
  [229] drgon_0132                 ( -0.270,  0.512,  1.295)    1.418  1
  [230] drgon_096                  ( -0.144,  0.759,  1.300)    1.512  1
  [231] drgon_048                  (  0.140,  0.656,  1.301)    1.463  0
  [232] drgon_0117                 (  0.076,  0.763,  1.309)    1.517  1
  [233] drgon_0141                 (  0.208,  0.526,  1.318)    1.434  1
  [234] drgon_074                  ( -0.029,  0.439,  1.319)    1.391  0
  [235] drgon_078                  ( -0.027,  0.336,  1.331)    1.373  0
  [236] drgon_0131                 ( -0.222,  0.483,  1.334)    1.435  1
  [237] drgon_026                  ( -0.103,  0.622,  1.335)    1.476  0
  [238] drgon_031                  ( -0.163,  0.695,  1.336)    1.515  0
  [239] drgon_027                  (  0.037,  0.624,  1.341)    1.479  0
  [240] drgon_090                  ( -0.040,  0.758,  1.344)    1.544  0
  [241] drgon_039                  (  0.095,  0.700,  1.346)    1.520  0
  [242] drgon_0140                 (  0.160,  0.489,  1.350)    1.445  1
  [243] drgon_034                  ( -0.142,  0.632,  1.350)    1.498  0
  [244] drgon_02                   ( -0.125,  0.552,  1.351)    1.465  0
  [245] drgon_033                  ( -0.124,  0.598,  1.351)    1.483  0
  [246] drgon_049                  (  0.059,  0.556,  1.359)    1.469  0
  [247] drgon_041                  (  0.058,  0.601,  1.359)    1.487  0
  [248] drgon_035                  ( -0.084,  0.594,  1.359)    1.486  0
  [249] drgon_042                  (  0.074,  0.635,  1.359)    1.502  0
  [250] drgon_043                  (  0.017,  0.596,  1.363)    1.488  0
  [251] drgon_032                  ( -0.118,  0.608,  1.366)    1.500  0
  [252] drgon_040                  (  0.050,  0.611,  1.373)    1.503  0
  [253] drgon_0130                 ( -0.172,  0.458,  1.374)    1.458  1
  [254] drgon_066                  ( -0.089,  0.339,  1.383)    1.427  0
  [255] drgon_0139                 (  0.109,  0.460,  1.385)    1.463  1
  [256] drgon_068                  (  0.029,  0.341,  1.389)    1.431  0
  [257] drgon_029                  ( -0.127,  0.639,  1.389)    1.534  1
  [258] drgon_030                  ( -0.127,  0.639,  1.389)    1.534  0
  [259] drgon_089                  ( -0.037,  0.714,  1.391)    1.564  1
  [260] drgon_044                  ( -0.069,  0.537,  1.395)    1.497  0
  [261] drgon_037                  (  0.056,  0.643,  1.397)    1.539  1
  [262] drgon_038                  (  0.056,  0.643,  1.397)    1.539  0
  [263] drgon_046                  (  0.001,  0.538,  1.398)    1.498  0
  [264] drgon_057                  ( -0.126,  0.400,  1.399)    1.461  0
  [265] drgon_028                  ( -0.072,  0.596,  1.403)    1.526  0
  [266] drgon_036                  (  0.001,  0.597,  1.406)    1.527  0
  [267] drgon_059                  (  0.062,  0.403,  1.407)    1.465  0
  [268] drgon_0129                 ( -0.124,  0.428,  1.412)    1.481  1
  [269] drgon_065                  ( -0.031,  0.313,  1.415)    1.450  0
  [270] drgon_0138                 (  0.058,  0.431,  1.420)    1.485  1
  [271] drgon_052                  ( -0.086,  0.412,  1.453)    1.512  0
  [272] drgon_053                  (  0.017,  0.414,  1.457)    1.515  0
  [273] drgon_056                  ( -0.034,  0.346,  1.471)    1.512  0
  [274] drgon_051                  ( -0.037,  0.419,  1.508)    1.565  0

---- 自动分类候选 ----
前段（头/颈/嘴，Z 归一 > 0.72）共 71 根：
    drgon_09                   (0.353, 0.872, -1.696)
    drgon_0200                 (0.305, 1.045, -1.687)
    drgon_010                  (0.681, 1.066, -1.663)
    drgon_0199                 (0.648, 1.232, -1.630)
    drgon_011                  (0.981, 1.076, -1.422)
    drgon_0198                 (0.974, 1.230, -1.351)
    drgon_012                  (1.141, 0.937, -1.100)
    drgon_0197                 (1.124, 1.123, -1.082)
    drgon_013                  (1.184, 0.750, -0.789)
    drgon_0196                 (1.172, 0.890, -0.696)
    drgon_014                  (1.133, 0.569, -0.518)
    drgon_0161                 (0.679, 0.023, -0.477)
    drgon_0170                 (0.353, 0.039, -0.464)
    drgon_0173                 (0.772, 0.323, -0.461)
    drgon_0156                 (0.719, 0.263, -0.458)
    drgon_0172                 (0.719, 0.263, -0.458)
    drgon_0159                 (0.632, 0.024, -0.455)
    drgon_0169                 (0.417, 0.038, -0.450)
    drgon_0195                 (1.119, 0.714, -0.433)
    drgon_0168                 (0.498, 0.037, -0.431)
    drgon_0158                 (0.578, 0.024, -0.429)
    drgon_0157                 (0.543, 0.094, -0.412)
    drgon_0171                 (0.542, -0.018, -0.412)
    drgon_0165                 (0.502, 0.053, -0.392)
    drgon_0162                 (0.530, 0.037, -0.365)
    drgon_0166                 (0.420, 0.054, -0.352)
    drgon_0167                 (0.361, 0.054, -0.324)
    drgon_015                  (1.026, 0.438, -0.307)
    drgon_0163                 (0.482, 0.038, -0.297)
    drgon_0155                 (0.736, 0.428, -0.274)
    drgon_0164                 (0.444, 0.038, -0.244)
    drgon_0194                 (1.019, 0.593, -0.243)
    drgon_016                  (0.906, 0.375, -0.162)
    drgon_0154                 (0.861, 0.378, -0.158)
    drgon_0174                 (0.921, 0.536, -0.128)
    drgon_0175                 (0.894, 0.367, -0.119)
    drgon_0193                 (1.166, 0.331, -0.110)
    drgon_0176                 (1.017, 0.481, -0.059)
    drgon_0192                 (1.155, 0.276, -0.052)
    drgon_0177                 (1.155, 0.276, -0.052)
    drgon_017                  (0.774, 0.364, -0.051)
    drgon_0153                 (0.822, 0.517, -0.047)
    drgon_0160                 (1.197, 0.028, -0.031)
    drgon_0180                 (1.180, 0.027, 0.018)
    drgon_0152                 (0.675, 0.544, 0.040)
    drgon_018                  (0.606, 0.411, 0.055)
    drgon_0179                 (1.160, 0.020, 0.075)
    drgon_0178                 (1.148, 0.089, 0.111)
    drgon_0191                 (1.147, -0.022, 0.111)
    drgon_0151                 (0.518, 0.617, 0.119)
    drgon_0182                 (1.102, 0.033, 0.129)
    drgon_0188                 (1.172, 0.032, 0.153)
    drgon_0185                 (1.133, 0.048, 0.154)
    drgon_019                  (0.422, 0.517, 0.157)
    drgon_0183                 (1.036, 0.044, 0.179)
    drgon_0184                 (0.985, 0.035, 0.219)
    drgon_0189                 (1.181, 0.040, 0.236)
    drgon_0150                 (0.315, 0.777, 0.239)
    drgon_0186                 (1.103, 0.058, 0.240)
    drgon_020                  (0.233, 0.679, 0.275)
    drgon_0187                 (1.082, 0.039, 0.299)
    drgon_0190                 (1.187, 0.024, 0.299)
    drgon_0113                 (0.172, 0.793, 1.103)
    drgon_0146                 (0.449, 0.648, 1.158)
    drgon_088                  (0.159, 0.782, 1.180)
    drgon_0145                 (0.395, 0.666, 1.196)
    drgon_0144                 (0.339, 0.659, 1.235)
    drgon_0143                 (0.291, 0.622, 1.267)
    drgon_0142                 (0.251, 0.573, 1.291)
    drgon_0141                 (0.208, 0.526, 1.318)
    drgon_0140                 (0.160, 0.489, 1.350)
后段（尾，Z 归一 < 0.25）共 11 根：
    drgon_0226                 (-3.180, 1.534, -2.761)
    drgon_0222                 (-2.827, 1.611, -2.743)
    drgon_0220                 (-2.780, 1.465, -2.706)
    drgon_0225                 (-2.914, 1.539, -2.706)
    drgon_0218                 (-2.885, 1.607, -2.651)
    drgon_0224                 (-2.871, 1.495, -2.617)
    drgon_0201                 (-2.620, 1.586, -2.587)
    drgon_0216                 (-2.656, 1.579, -2.587)
    drgon_0217                 (-2.637, 1.616, -2.572)
    drgon_0219                 (-2.599, 1.541, -2.570)
    drgon_0223                 (-2.632, 1.581, -2.560)
偏离中线（|X| > 0.6，翼/腿）共 117 根：
    drgon_0226                 (-3.180, 1.534, -2.761)
    drgon_0222                 (-2.827, 1.611, -2.743)
    drgon_0220                 (-2.780, 1.465, -2.706)
    drgon_0225                 (-2.914, 1.539, -2.706)
    drgon_0218                 (-2.885, 1.607, -2.651)
    drgon_0224                 (-2.871, 1.495, -2.617)
    drgon_0201                 (-2.620, 1.586, -2.587)
    drgon_0216                 (-2.656, 1.579, -2.587)
    drgon_0217                 (-2.637, 1.616, -2.572)
    drgon_0219                 (-2.599, 1.541, -2.570)
    drgon_0223                 (-2.632, 1.581, -2.560)
    drgon_0215                 (-2.410, 1.617, -2.474)
    drgon_0214                 (-2.143, 1.576, -2.427)
    drgon_0213                 (-1.922, 1.428, -2.364)
    drgon_0212                 (-1.770, 1.225, -2.260)
    drgon_0268                 (-0.940, 0.047, -2.229)
    drgon_0227                 (-1.703, 1.292, -2.227)
    drgon_0267                 (-0.987, 0.048, -2.183)
    drgon_0211                 (-1.694, 1.122, -2.167)
    drgon_0265                 (-0.874, 0.046, -2.131)
    drgon_0228                 (-1.629, 1.206, -2.126)
    drgon_0266                 (-1.047, 0.049, -2.125)
    drgon_0264                 (-0.937, 0.054, -2.115)
    drgon_0263                 (-1.025, 0.064, -2.093)
    drgon_0257                 (-1.064, 0.086, -2.083)
    drgon_0210                 (-1.621, 0.991, -2.082)
    drgon_0258                 (-1.107, 0.038, -2.072)
    drgon_0256                 (-1.105, 0.253, -2.063)
    drgon_0269                 (-1.105, 0.254, -2.063)
    drgon_0259                 (-1.165, 0.039, -2.058)
    drgon_0260                 (-1.029, 0.049, -2.054)
    drgon_0241                 (-1.216, 0.039, -2.045)
    drgon_0229                 (-1.537, 1.070, -2.034)
    drgon_0261                 (-0.949, 0.048, -2.031)
    drgon_0270                 (-0.920, 0.391, -2.018)
    drgon_0255                 (-0.920, 0.391, -2.018)
    drgon_0271                 (-1.076, 0.391, -2.016)
    drgon_0262                 (-0.886, 0.048, -2.013)
    drgon_0209                 (-1.523, 0.845, -1.994)
    drgon_0254                 (-1.133, 0.485, -1.983)
    drgon_0230                 (-1.424, 0.937, -1.950)
    drgon_0208                 (-1.428, 0.731, -1.930)
    drgon_0231                 (-1.322, 0.840, -1.899)
    drgon_0207                 (-1.314, 0.629, -1.872)
    drgon_0232                 (-1.207, 0.756, -1.858)
    drgon_0253                 (-1.210, 0.567, -1.853)
    drgon_0233                 (-1.095, 0.711, -1.811)
    drgon_0206                 (-1.160, 0.549, -1.805)
    drgon_03                   (-1.159, 0.549, -1.805)
    drgon_0234                 (-1.226, 0.576, -1.804)
    drgon_0205                 (-0.959, 0.661, -1.751)
    drgon_04                   (-1.003, 0.490, -1.742)
    drgon_0204                 (-0.812, 0.623, -1.697)
    drgon_05                   (-0.819, 0.447, -1.684)
    drgon_010                  (0.681, 1.066, -1.663)
    drgon_0235                 (-1.204, 0.560, -1.634)
    drgon_0199                 (0.648, 1.232, -1.630)
    drgon_0221                 (-1.279, 0.042, -1.523)
    drgon_0252                 (-1.227, 0.372, -1.516)
    drgon_0240                 (-1.265, 0.042, -1.473)
    drgon_0236                 (-1.118, 0.455, -1.443)
    drgon_0251                 (-1.118, 0.454, -1.442)
    drgon_0250                 (-1.235, 0.251, -1.431)
    drgon_0237                 (-1.235, 0.251, -1.431)
    drgon_011                  (0.981, 1.076, -1.422)
