########## Assets/_Project   (2 条)
  Feng_Idle_Loop                             len=2.500 loop=True  Feng_Idle_Loop.anim
  CharacterArmature|Idle                     len=1.000 loop=False Yeti.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Alien.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Birb.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Cactoro.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Cat.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Chicken.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Dog.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Fish.fbx
  CharacterArmature|Idle                     len=2.000 loop=False GreenBlob.fbx
  CharacterArmature|Idle                     len=2.000 loop=False GreenSpikyBlob.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Mushnub.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Mushnub_Evolved.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Ninja.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Orc.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Pigeon.fbx
  CharacterArmature|Idle                     len=2.000 loop=False PinkBlob.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Wizard.fbx
  CharacterArmature|Idle                     len=2.000 loop=False Yeti.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Alien.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Birb.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False BlueDemon.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Bunny.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Cactoro.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Demon.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Dino.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Fish.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Frog.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Monkroose.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False MushroomKing.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Ninja.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Orc.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Orc_Skull.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Tribal.fbx
  CharacterArmature|Jump_Idle                len=0.500 loop=False Yeti.fbx
  CharacterArmature|Run                      len=0.567 loop=False Alien.fbx
  CharacterArmature|Run                      len=0.567 loop=False Birb.fbx
  CharacterArmature|Run                      len=0.567 loop=False BlueDemon.fbx
  CharacterArmature|Run                      len=0.567 loop=False Bunny.fbx
  CharacterArmature|Run                      len=0.567 loop=False Cactoro.fbx
  CharacterArmature|Run                      len=0.567 loop=False Demon.fbx
  CharacterArmature|Run                      len=0.567 loop=False Dino.fbx
  CharacterArmature|Run                      len=0.567 loop=False Fish.fbx
  CharacterArmature|Run                      len=0.567 loop=False Frog.fbx
  CharacterArmature|Run                      len=0.567 loop=False Monkroose.fbx
  CharacterArmature|Run                      len=0.567 loop=False MushroomKing.fbx
  CharacterArmature|Run                      len=0.567 loop=False Ninja.fbx
  CharacterArmature|Run                      len=0.567 loop=False Orc.fbx
  CharacterArmature|Run                      len=0.567 loop=False Orc_Skull.fbx
  CharacterArmature|Run                      len=0.567 loop=False Tribal.fbx
  CharacterArmature|Run                      len=0.567 loop=False Yeti.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Alien.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Birb.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Cactoro.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Cat.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Chicken.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Dog.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Fish.fbx
  CharacterArmature|Walk                     len=0.433 loop=False GreenBlob.fbx
  CharacterArmature|Walk                     len=0.433 loop=False GreenSpikyBlob.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Mushnub.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Mushnub_Evolved.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Ninja.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Orc.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Pigeon.fbx
  CharacterArmature|Walk                     len=0.433 loop=False PinkBlob.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Wizard.fbx
  CharacterArmature|Walk                     len=0.433 loop=False Yeti.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Alien.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Birb.fbx
  CharacterArmature|Walk                     len=1.000 loop=False BlueDemon.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Bunny.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Cactoro.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Demon.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Dino.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Fish.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Frog.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Monkroose.fbx
  CharacterArmature|Walk                     len=1.000 loop=False MushroomKing.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Ninja.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Orc.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Orc_Skull.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Tribal.fbx
  CharacterArmature|Walk                     len=1.000 loop=False Yeti.fbx
  Rig|Crouch_Idle_Loop                       len=2.933 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Idle_Loop                              len=2.500 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Idle_Talking_Loop                      len=2.933 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Idle_Torch_Loop                        len=1.267 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Jog_Fwd_Loop                           len=0.933 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Pistol_Idle_Loop                       len=1.667 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Sitting_Idle_Loop                      len=1.667 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Spell_Simple_Idle_Loop                 len=2.100 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Sprint_Loop                            len=0.667 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Swim_Idle_Loop                         len=3.333 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Sword_Attack                           len=1.533 loop=False AnimationLibrary_Unity_Standard.fbx
  Rig|Sword_Attack_RM                        len=1.533 loop=False AnimationLibrary_Unity_Standard.fbx
  Rig|Sword_Idle                             len=1.667 loop=False AnimationLibrary_Unity_Standard.fbx
  Rig|Walk_Formal_Loop                       len=1.333 loop=True  AnimationLibrary_Unity_Standard.fbx
  Rig|Walk_Loop                              len=1.333 loop=True  AnimationLibrary_Unity_Standard.fbx

